fixture,original_status,original_iterations,accepted,candidate_equations,reference_updates,root_residual,reference_residual,coordinate_difference_max,weight_difference_max,floor_masks_equal
shape-success-recovery-current-32-32-23,0,21,True,19,12,6.634649968770158e-15,7.940616003217874e-11,9.181516575756163e-11,5.810232295289097e-10,True
shape-success-recovery-current-32-32-24,0,26,True,19,17,2.1529342344771507e-14,8.899703196618702e-11,1.1123788313690524e-10,1.260524018498188e-09,True
shape-success-recovery-current-32-32-25,0,21,True,19,11,1.8537802040393506e-14,5.230552422051335e-11,1.922459744479739e-11,2.950392152811787e-10,True
shape-success-recovery-current-32-32-26,0,19,True,19,9,9.123061493579099e-15,6.39304151458561e-11,4.2970128493923145e-11,7.127859413813553e-10,True
shape-success-recovery-current-32-32-27,0,21,True,20,20,1.0008624948818655e-14,6.744693056578837e-11,3.1793071531623444e-11,8.64068261385853e-10,True
shape-success-recovery-current-32-32-28,0,31,True,19,27,1.0592971758530815e-14,6.778093715862259e-11,2.415639749949306e-11,9.322070892991974e-11,True
shape-success-recovery-current-32-32-29,0,26,True,19,16,5.433075560854915e-14,8.628228770860374e-11,3.0719733211331333e-11,5.985382189876987e-10,True
shape-success-recovery-current-32-32-3,0,2,True,18,0,2.2255906871378937e-15,3.6900823275055795e-14,9.598090479877496e-16,0.0,True
shape-success-recovery-current-32-32-30,0,25,True,19,22,2.1079045028873104e-15,6.560825845500677e-11,2.6179711828635402e-11,7.911593602472067e-11,True
shape-success-recovery-current-32-32-31,0,25,True,19,22,4.240121676999758e-15,9.037443016168822e-11,6.708248425047492e-11,2.3620849720629167e-10,True
shape-success-recovery-current-32-32-32,0,11,True,19,11,2.4501880495484592e-15,4.651540615583276e-11,9.856139341501586e-12,3.567135475890382e-11,True
shape-success-recovery-current-32-32-33,0,2,True,18,0,2.011459698207279e-15,4.544704850439722e-14,6.416289551836508e-16,0.0,True
shape-success-recovery-current-32-32-34,0,22,True,19,20,2.3359687882133793e-15,6.780538063549086e-11,2.9681386499135296e-11,9.963263547518864e-11,True
shape-success-recovery-current-32-32-35,0,20,True,19,9,2.5045729885873817e-14,9.374984560444201e-11,7.098803022102056e-11,4.866202996112179e-10,True
