effect,serial_id,parameter,delta,qr_svd_resolution,resolved
quantization_true_b,30,C,-1.3182299696268274e-09,1.3655743202889425e-14,True
quantization_true_b,31,A,-2.8635716020630753e-09,2.398081733190338e-14,True
quantization_true_b,31,C,1.8886003871898538e-12,5.10702591327572e-15,True
quantization_true_b,32,A,9.891280683405057e-09,1.9451107391432743e-13,True
quantization_true_b,32,C,1.0447748222119912e-09,7.882583474838611e-15,True
quantization_true_b,33,A,-1.1359251317344388e-09,1.412203687323199e-13,True
quantization_true_b,33,C,3.6014580206966684e-10,1.7763568394002505e-15,True
quantization_true_b,34,A,-2.0026918789994852e-08,1.1723955140041653e-13,True
quantization_true_b,34,C,1.831697016285716e-10,7.66053886991358e-15,True
quantization_true_b,35,A,6.206768432548415e-09,1.0125233984581428e-13,True
quantization_true_b,35,C,-7.739641427750854e-10,9.076073226310655e-15,True
quantization_true_b,36,A,6.736521562800135e-09,9.059419880941277e-14,True
quantization_true_b,36,C,-1.499419512163147e-10,1.1782241848834474e-14,True
quantization_true_b,37,A,6.3969762820192955e-09,2.1316282072803006e-14,True
quantization_true_b,37,C,6.79738099140792e-10,4.773959005888173e-15,True
quantization_true_b,38,A,-2.2171600555509485e-08,1.0302869668521453e-13,True
quantization_true_b,38,C,2.658377129538536e-10,4.6351811278100286e-15,True
quantization_true_b,39,A,-6.644692795987339e-09,1.163513729807164e-13,True
quantization_true_b,39,C,-5.464510476060891e-10,1.8558071745999882e-14,True
quantization_true_b,40,A,-7.194480566852235e-09,1.509903313490213e-14,True
quantization_true_b,40,C,6.612490277557725e-10,7.605027718682322e-15,True
quantization_true_b,41,A,-8.74530847738697e-09,4.1744385725905886e-14,True
quantization_true_b,41,C,5.144451531435834e-11,1.0769163338864018e-14,True
quantization_true_b,42,A,6.430882493191348e-10,1.1546319456101628e-13,True
quantization_true_b,42,C,-2.5058344288453327e-10,1.684763439868675e-14,True
quantization_true_b,43,A,2.3832650519750587e-08,9.325873406851315e-14,True
quantization_true_b,43,C,-7.576468341596865e-10,2.55351295663786e-15,True
quantization_true_b,44,A,-9.331451167327032e-10,1.3589129821411916e-13,True
quantization_true_b,44,C,-6.468364732725718e-10,1.1213252548714081e-14,True
quantization_true_b,45,A,-8.870669532257125e-09,7.016609515630989e-14,True
quantization_true_b,45,C,1.6093729127142353e-09,4.385380947269368e-15,True
quantization_true_b,46,A,-3.803267478730277e-08,3.108624468950438e-14,True
