dataset,case,serial_id,A,B,C,A_error,B_error,C_error,truth_comparison_identifiable
near-0.02,mixed-double,5,6.999999999999995,0.45,0.20000000000000073,-5.329070518200751e-15,0.0,7.216449660063518e-16,True
near-0.02,mixed-double,6,7.999999999999997,0.4,-0.19999999999999998,-2.6645352591003757e-15,0.0,2.7755575615628914e-17,True
near-0.02,mixed-double,7,5.999999999999994,0.5,0.20000000000000015,-6.217248937900877e-15,0.0,1.3877787807814457e-16,True
near-0.02,mixed-double,8,6.999999999999998,0.45,-0.19999999999999996,-1.7763568394002505e-15,0.0,5.551115123125783e-17,True
near-0.02,mixed-double,9,8.000000000000009,0.4,0.19999999999999982,8.881784197001252e-15,0.0,-1.942890293094024e-16,True
near-0.02,mixed-double,10,6.0,0.5,-0.19999999999999998,0.0,0.0,2.7755575615628914e-17,True
near-0.02,mixed-double,11,6.999999999999999,0.45,0.19999999999999982,-8.881784197001252e-16,0.0,-1.942890293094024e-16,True
near-0.02,mixed-double,12,8.0,0.4,-0.2,0.0,0.0,0.0,True
near-0.02,first-stage-float32,1,6.000002052908329,0.5000000921214143,0.1999999928725094,2.052908328664671e-06,9.212141427461518e-08,-7.127490597724773e-09,True
near-0.02,first-stage-float32,2,6.999999925767896,0.44999999576083605,-0.1999999992307125,-7.423210401924507e-08,-4.239163964303572e-09,7.692875225728812e-10,True
near-0.02,first-stage-float32,3,8.00000006081729,0.4000000016972169,0.20000000150175365,6.081729075901876e-08,1.6972168670470467e-09,1.501753638111225e-09,True
near-0.02,first-stage-float32,4,5.999998209116306,0.49999990322057575,-0.19999999287625747,-1.790883693786327e-06,-9.677942425234676e-08,7.123742540304789e-09,True
near-0.02,first-stage-float32,5,7.000000031783505,0.44999999999228724,0.2000000013750651,3.178350471699787e-08,-7.712774863222194e-12,1.3750650895705263e-09,True
near-0.02,first-stage-float32,6,7.999999968320139,0.39999999877297154,-0.20000000132362367,-3.167986140084622e-08,-1.2270284788229446e-09,-1.3236236551250613e-09,True
near-0.02,first-stage-float32,7,6.000000053709479,0.5000000029565276,0.1999999996886186,5.3709478642360864e-08,2.956527578312773e-09,-3.1138142064790486e-10,True
near-0.02,first-stage-float32,8,7.0000000737838635,0.45000000061474904,-0.20000000054113504,7.378386346346133e-08,6.147490294594604e-10,-5.411350256778746e-10,True
near-0.02,first-stage-float32,9,8.000000032575239,0.3999999996361752,0.1999999972860603,3.2575238506638016e-08,-3.6382480361751846e-10,-2.7139397118514097e-09,True
