state_id,serial_id,historical_C_status,frozen_C_status,joint_C_status
baseline-recovery-32,114,improved,regressed,unqualified
baseline-recovery-32,115,regressed,regressed,unqualified
baseline-recovery-32,116,regressed,improved,unqualified
baseline-recovery-32,117,improved,improved,unqualified
baseline-recovery-32,118,improved,regressed,unqualified
baseline-recovery-32,119,improved,improved,unqualified
baseline-recovery-32,120,regressed,regressed,unqualified
baseline-recovery-32,121,improved,improved,unqualified
baseline-recovery-32,122,improved,regressed,unqualified
baseline-recovery-32,123,regressed,regressed,unqualified
baseline-recovery-32,124,regressed,improved,unqualified
baseline-recovery-32,125,improved,improved,unqualified
baseline-recovery-32,126,regressed,improved,unqualified
baseline-recovery-32,127,improved,improved,unqualified
baseline-recovery-32,128,improved,unqualified,unqualified
baseline-recovery-32,129,improved,improved,unqualified
baseline-recovery-32,130,regressed,improved,unqualified
baseline-recovery-32,131,improved,improved,unqualified
baseline-recovery-32,132,regressed,regressed,unqualified
baseline-recovery-32,133,improved,improved,unqualified
baseline-recovery-32,134,improved,improved,unqualified
baseline-recovery-32,135,improved,regressed,unqualified
baseline-recovery-32,136,improved,improved,unqualified
baseline-recovery-32,137,improved,improved,unqualified
baseline-recovery-32,138,improved,improved,unqualified
baseline-recovery-32,139,improved,improved,unqualified
baseline-recovery-32,140,regressed,regressed,unqualified
baseline-recovery-32,141,regressed,regressed,unqualified
baseline-recovery-32,142,regressed,regressed,unqualified
baseline-recovery-32,143,improved,improved,unqualified
baseline-recovery-32,144,improved,regressed,unqualified
baseline-recovery-32,145,regressed,improved,unqualified
baseline-recovery-32,146,improved,improved,unqualified
baseline-recovery-32,147,improved,regressed,unqualified
baseline-recovery-32,148,improved,regressed,unqualified
baseline-recovery-32,149,regressed,improved,unqualified
baseline-recovery-32,150,regressed,regressed,unqualified
baseline-recovery-32,151,improved,improved,unqualified
baseline-recovery-32,152,improved,improved,unqualified
baseline-recovery-32,153,improved,improved,unqualified
baseline-recovery-32,154,regressed,regressed,unqualified
baseline-recovery-32,155,improved,improved,unqualified
baseline-recovery-32,156,improved,regressed,unqualified
baseline-recovery-32,157,improved,improved,unqualified
baseline-recovery-32,158,improved,regressed,unqualified
baseline-recovery-32,159,improved,regressed,unqualified
baseline-recovery-32,160,improved,improved,unqualified
baseline-recovery-32,161,regressed,improved,unqualified
baseline-recovery-32,162,regressed,regressed,unqualified
baseline-recovery-32,163,improved,improved,unqualified
baseline-recovery-32,164,improved,improved,unqualified
baseline-recovery-32,165,improved,improved,unqualified
baseline-recovery-32,166,improved,regressed,unqualified
baseline-recovery-32,167,regressed,improved,unqualified
baseline-recovery-32,168,regressed,regressed,unqualified
failed-only-best-6,1,improved,improved,unqualified
failed-only-best-6,2,improved,improved,unqualified
failed-only-best-6,3,regressed,improved,unqualified
failed-only-best-6,4,improved,improved,unqualified
failed-only-best-6,5,improved,regressed,unqualified
failed-only-best-6,6,regressed,improved,unqualified
failed-only-best-6,7,regressed,improved,unqualified
failed-only-best-6,8,improved,regressed,unqualified
failed-only-best-6,9,improved,improved,unqualified
failed-only-best-6,10,regressed,regressed,unqualified
failed-only-best-6,11,regressed,regressed,unqualified
failed-only-best-6,12,improved,improved,unqualified
failed-only-best-6,13,regressed,regressed,unqualified
failed-only-best-6,14,improved,regressed,unqualified
failed-only-best-6,15,regressed,improved,unqualified
failed-only-best-6,16,regressed,improved,unqualified
failed-only-best-6,17,improved,regressed,unqualified
failed-only-best-6,18,improved,regressed,unqualified
failed-only-best-6,19,regressed,regressed,unqualified
failed-only-best-6,20,improved,regressed,unqualified
failed-only-best-6,21,improved,improved,unqualified
failed-only-best-6,22,improved,improved,unqualified
failed-only-best-6,23,regressed,improved,unqualified
failed-only-best-6,24,improved,improved,unqualified
failed-only-best-6,25,regressed,improved,unqualified
failed-only-best-6,26,regressed,improved,unqualified
failed-only-best-6,27,regressed,improved,unqualified
failed-only-best-6,28,improved,regressed,unqualified
failed-only-best-6,29,improved,regressed,unqualified
failed-only-best-6,30,improved,regressed,unqualified
failed-only-best-6,31,regressed,regressed,unqualified
failed-only-best-6,32,regressed,improved,unqualified
failed-only-best-6,33,regressed,improved,unqualified
failed-only-best-6,34,improved,regressed,unqualified
failed-only-best-6,35,regressed,improved,unqualified
failed-only-best-6,36,improved,improved,unqualified
failed-only-best-6,37,regressed,improved,unqualified
