state_id,component,mode,atom_index,seed,qualified,selected,minimum,maximum,mean,underflow_count,below_0_1,effective_n,owner,alpha,variance,scale_equation,denominator,denominator_margin,linear_weight_share
baseline-best-28,0,joint,,checkpoint,False,True,1.0401218115781131e-06,0.9999784081864889,0.7811560280605075,0,9,179.5247857935139,85,0.5,1.0955801432739039e-07,-2.2451124292999225e-10,101.79810021691969,0.5089905010845984,3.4695233234574507e-06
baseline-best-28,0,joint,,checkpoint,False,True,0.1825071198187325,0.999966534860099,0.7835199298413466,0,0,188.62586536343798,86,0.7,1.6467855212691243e-07,1.2215165678439332e-09,93.54216335730933,0.4677108167865467,9.401928249281272e-06
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,87,0.0,1.0775456268960156e-05,1.332816634835865e-12,200.0,1.0,8.67172012031451e-10
baseline-best-28,0,joint,,checkpoint,False,True,0.47546113129548034,0.9999748043205567,0.9049641212051938,0,0,194.26499885415754,88,0.2,9.031212215163088e-07,1.3800675242672896e-09,150.56379326852965,0.7528189663426482,3.760234151921762e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.2195189991974697e-72,0.9999998133277637,0.7314251469613694,0,13,172.84377408702608,89,0.7,9.541675616582323e-08,-3.655591168242881e-11,83.12320678131405,0.41561603390657026,1.8335953612580733e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.3820211904321998,0.999999984270172,0.8969905804877405,0,0,191.60839637696887,90,0.2,9.157450628148651e-07,2.0115655542080918e-10,148.96908512503887,0.7448454256251944,3.670625002392763e-08
baseline-best-28,0,joint,,checkpoint,False,True,6.590554911194101e-09,0.999999267606683,0.7599061312837236,0,8,176.83034933559082,91,0.6,8.1845041700991e-07,3.326474652597192e-10,92.68852012858753,0.46344260064293763,5.358914220945812e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.001045941167763911,0.9999959913010253,0.8433596876426515,0,8,186.06782912132596,92,0.30000000000000004,8.494971111776458e-07,-8.160458023779959e-09,128.19233663743663,0.6409616831871832,7.451332427265186e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,93,0.0,0.0001281433415597929,-3.4561187245429893e-12,200.0,1.0,7.291970054449541e-11
baseline-best-28,0,joint,,checkpoint,False,True,1.2588764649565458e-56,0.9998698587364662,0.6486645783930147,0,27,156.0605056452099,94,1.0,6.53489085196247e-07,3.5018237087847126e-08,59.022237559948195,0.295111187799741,9.15469033419504e-06
baseline-best-28,0,joint,,checkpoint,False,True,0.1049712842822238,0.9999991400247967,0.7761827196376814,0,0,185.86180247050748,95,0.7,1.0325071732688198e-06,3.0324230481701577e-09,92.07472131657644,0.46037360658288223,7.813312663379085e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.37543770906649865,0.9999954648644847,0.8499540783313969,0,0,193.22117382712932,96,0.4,7.571035279540502e-07,-2.046123618233828e-09,121.69628682464983,0.6084814341232492,1.7038922261423948e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.5055424043870526,0.9999694380348167,0.9124345687068132,0,0,196.98922200842338,97,0.2,4.861004633053198e-07,-7.466950473408643e-10,152.05788276885343,0.7602894138442672,7.493889287767444e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.41274154324574924,0.999991042515012,0.8479720094396255,0,0,192.25886973950537,98,0.4,6.993198265041533e-07,2.6673062322583284e-10,121.29987304629552,0.6064993652314776,1.869835887351291e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.5509317133615905,0.9999618828195974,0.914021514213658,0,0,197.57649113825366,99,0.2,3.844053105261542e-07,3.961909607133693e-10,152.37527187022226,0.7618763593511113,9.718344321954957e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,100,0.0,4.78910646780465e-07,-5.1268966849704615e-12,200.0,1.0,1.951131000350153e-08
baseline-best-28,0,joint,,checkpoint,False,True,2.537406416012938e-08,0.9999981854609601,0.6708858431278037,0,26,160.63337449702476,101,0.8999999999999999,2.318841942530249e-08,5.253007967901577e-11,65.44783966777005,0.3272391983388503,0.000612518267818831
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,102,0.0,2.7720943166767926e-07,-1.542709848756374e-12,200.0,1.0,3.3707994843815266e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.1292718834033763,0.9999951647320643,0.7260245773455138,0,0,175.74036123246856,103,0.8999999999999999,2.2853376774962493e-07,5.056091539375269e-10,76.47558651131224,0.3823779325565612,2.4020766053760713e-05
baseline-best-28,0,joint,,checkpoint,False,True,0.012723700212138665,0.9999934434538936,0.7993995917794757,0,7,184.7812168823331,104,0.5,5.859793708274596e-08,7.968509740940988e-10,105.44681296071349,0.5272340648035674,7.762439467069348e-06
baseline-best-28,0,joint,,checkpoint,False,True,1.749776422178163e-36,0.9999988695206,0.8420431474142924,0,16,181.4042230532255,105,0.2,5.114683940417533e-07,-2.7967789832858326e-09,137.97959851034938,0.6898979925517469,6.539399117491804e-08
baseline-best-28,0,joint,,checkpoint,False,True,1.7591105046554158e-97,0.9999998478888035,0.4959919249552031,0,83,111.18547915975847,106,1.0,6.772899952460698e-09,-5.325192009575375e-09,28.487706872385882,0.1424385343619294,0.006634276963177211
baseline-best-28,0,joint,,checkpoint,False,True,0.4286228902329085,0.9999984614000608,0.9082592918533766,0,0,195.47260357445816,107,0.2,2.260370359078852e-06,-1.9098007128396092e-08,151.222827398166,0.75611413699083,1.3756769673992301e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.4776158380161808,0.9999997295551621,0.9095330595406746,0,0,195.8911968722435,108,0.2,2.7927488956949715e-06,-5.404270872358666e-09,151.47758093562567,0.7573879046781283,1.0916604896061453e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.5905542455914902,0.9999962707343898,0.9123658372811186,0,0,196.9041746147343,109,0.2,6.120723962552514e-07,4.784703107133056e-10,152.04413648371457,0.7602206824185729,5.815541008052795e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.4528099206962382,0.9999999864860687,0.8778396422081483,0,0,194.7210046346739,110,0.30000000000000004,4.1319802432008904e-07,4.413467169355207e-10,135.08832755053623,0.6754416377526812,1.7766034893998212e-07
baseline-best-28,0,joint,,checkpoint,False,True,0.8193419156659751,0.999999500495078,0.9541197094332182,0,0,199.41124276692176,111,0.1,5.602222632033803e-07,-1.5509957103821738e-09,173.4882584458146,0.8674412922290731,3.279813116945684e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.3332388798699391,0.9999447565152247,0.8224963980626109,0,0,190.3128785574224,112,0.5,4.264615781568285e-07,-3.3886488060019815e-10,110.0661742173404,0.550330871086702,6.681459354908678e-07
baseline-best-28,0,joint,,checkpoint,False,True,1.0,1.0,1.0,0,0,200.0,113,0.0,9.714937374907747e-07,6.350059089665905e-11,200.0,1.0,9.618357517615791e-09
baseline-best-28,0,joint,,checkpoint,False,True,0.5543495716589346,0.9999988866809577,0.910327079371236,0,0,196.1680781240639,114,0.2,1.9482603934037444e-06,5.694629232174961e-09,151.63638490173798,0.7581819245086899,1.623640741449255e-08
baseline-best-28,0,joint,,checkpoint,False,True,0.30308619722085933,0.9999953686054074,0.7413745944870914,0,0,186.75081303998803,115,1.0,8.198576916634336e-07,3.757974376128459e-09,77.56424077876352,0.3878212038938176,7.445793185651937e-06
