parameters,prediction,serial_id,n,A,B,C,truth_A,truth_B,truth_C,error_A,error_B,error_C,reference_A,reference_B,reference_C,qualified,stationarity,condition,reference_difference,loss
AB,analytic,90,100,6.003162836082552,0.5001681584483189,0.403,6.0,0.5,0.403,0.0031628360825521895,0.00016815844831885585,0.0,6.003162811344701,0.5001681576937552,0.403,True,6.007727096532733e-10,8.681987601536253,4.120802909122368e-09,0.00016308534339891758
AB,analytic,91,100,8.00446317139469,0.5002728944990354,-0.568,8.0,0.5,-0.568,0.00446317139468988,0.0002728944990354476,0.0,8.004463164433714,0.5002728943096603,-0.568,True,3.795689857714697e-11,7.342208952361262,8.696368072070146e-10,0.000510776825988259
AB,analytic,92,100,7.016738491832891,0.5012419288049578,-0.589,7.0,0.5,-0.589,0.016738491832891,0.0012419288049577704,0.0,7.016738546080074,0.5012419305228559,-0.589,True,6.895497435412488e-11,7.222544034634554,7.731110741774913e-09,0.0038567990275585017
AB,analytic,93,100,5.92659645961487,0.4986098155424446,0.233,6.0,0.5,0.233,-0.0734035403851303,-0.001390184457555399,0.0,5.926596496881004,0.4986098167287583,0.233,True,4.247225959073218e-11,8.392072772196043,6.287948605603486e-09,0.004682383377011639
AB,analytic,94,100,5.927178394901458,0.4971592427483961,0.565,6.0,0.5,0.565,-0.07282160509854219,-0.002840757251603876,0.0,5.92717837763282,0.4971592422339694,0.565,True,3.470768862010791e-11,8.910655444858108,2.9134669018746594e-09,0.001971849578704552
AB,analytic,95,100,7.960848618034965,0.4993464875712529,-0.669,8.0,0.5,-0.669,-0.03915138196503509,-0.0006535124287471161,0.0,7.960848600664391,0.4993464870884798,-0.669,True,1.1801548718754336e-10,7.209893126569401,2.1820003300814754e-09,0.0009960120914308964
AB,analytic,96,100,6.000357703395119,0.49925856063955915,-0.133,6.0,0.5,-0.133,0.00035770339511920213,-0.0007414393604408542,0.0,6.000357513273018,0.4992585541848286,-0.133,True,5.000920383697135e-11,7.805880503632819,3.1685127882618396e-08,0.0024059043141792433
AB,analytic,97,100,5.9699042229430805,0.49912125483359565,-0.175,6.0,0.5,-0.175,-0.03009577705691946,-0.0008787451664043489,0.0,5.9699044266533585,0.4991212618470643,-0.175,True,7.401351138365128e-11,7.735654169033288,3.4122870890530047e-08,0.0009449909920658933
AB,analytic,98,100,6.013005293609613,0.5005789865779764,-0.083,6.0,0.5,-0.083,0.013005293609612778,0.0005789865779763925,0.0,6.0130052837733095,0.5005789862474043,-0.083,True,1.874176858828462e-11,7.899497045947879,1.6358381287070674e-09,0.0003565845263522551
AB,analytic,99,100,6.06777484642251,0.5023818910681989,0.013,6.0,0.5,0.013,0.06777484642250986,0.0023818910681988603,0.0,6.067774657075355,0.5023818848666276,0.013,True,1.8002845806892845e-09,8.073871932416056,3.120536928884833e-08,0.00052883874506243
AB,analytic,100,100,6.991778291883897,0.49919041421116306,-0.31,7.0,0.5,-0.31,-0.008221708116103343,-0.0008095857888369418,0.0,6.991778112054605,0.4991904088195629,-0.31,True,8.548135428304619e-11,7.591361737119656,2.5720107874518037e-08,0.0003925699697744027
AB,analytic,101,100,5.988596093189874,0.4994051631756366,0.195,6.0,0.5,0.195,-0.011403906810126152,-0.0005948368243633984,0.0,5.988596244926379,0.4994051680010716,0.195,True,1.230319346654493e-11,8.336548606223673,2.5337574772551707e-08,0.00034791814868390033
