dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-two,first-stage-double,01:weak-1e-2:1,12,7451,this-search,17,15,17,13,103,1,13,1,0,0,0.038345459,0.162513333,0.066750626,0.036231083,0.620820417,0.121495333,205799424
regular-two,narrower-double,monolithic,24,14902,this-search,8,7,8,13,1,0,13,0,0,0,0.108815708,0.22731,0.098209666,0.113098459,0.028100542,0,205881344
regular-two,narrower-double,assembled,24,14902,sum-of-components,15,12,15,13,1,0,13,0,0,0,0.1090985,0,0,0.12076825,0.024605,0,205881344
regular-two,narrower-double,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.035753333,0.062079167,0.026923749,0.035880041,0.008848042,0,205881344
regular-two,narrower-double,01:weak-1e-2:1,12,7451,this-search,8,7,8,13,1,1,13,0,0,0,0.036308541,0.072067083,0.031045626,0.036464333,0.008951042,0,205881344
regular-two,wider-double,monolithic,24,14902,this-search,10,9,10,13,1,0,13,0,0,0,0.107777792,0.311745042,0.126682999,0.115819084,0.02787425,0,205881344
regular-two,wider-double,assembled,24,14902,sum-of-components,18,15,18,13,1,0,13,0,0,0,0.110333916,0,0,0.118168541,0.024912958,0,205881344
regular-two,wider-double,00:baseline:1,12,7451,this-search,8,6,8,13,1,1,13,0,0,0,0.03652775,0.07049375,0.030304876,0.036312625,0.009082792,0,205881344
regular-two,wider-double,01:weak-1e-2:1,12,7451,this-search,10,9,10,13,1,1,13,0,0,0,0.036205833,0.101393667,0.040332752,0.035511875,0.008965958,0,205881344
regular-two,mixed-double,monolithic,24,14902,this-search,9,8,9,13,1,0,13,0,0,0,0.113559958,0.258578625,0.11087437699999998,0.114767167,0.027621542,0,205881344
regular-two,mixed-double,assembled,24,14902,sum-of-components,16,13,16,13,1,0,13,0,0,0,0.110511083,0,0,0.117683959,0.025072708,0,205881344
regular-two,mixed-double,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.036500166,0.06446575,0.028064916000000002,0.037406542,0.009015625,0,205881344
regular-two,mixed-double,01:weak-1e-2:1,12,7451,this-search,9,8,9,13,1,1,13,0,0,0,0.034724375,0.0839875,0.036089126,0.03725025,0.008951542,0,205881344
regular-two,first-stage-float32,monolithic,24,14902,this-search,9,8,9,13,103,0,13,1,0,0,0.112739417,0.262906334,0.109993583,0.113940125,28.008105667,26.753167417,205881344
regular-two,first-stage-float32,assembled,24,14902,sum-of-components,23,21,23,13,103,0,13,1,0,0,0.110077666,0,0,0.117381292,27.969157417,26.688317,207683584
regular-two,first-stage-float32,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.03784475,0.053837666,0.023422042,0.036356458,0.6632945,0.113311458,207699968
regular-two,first-stage-float32,01:weak-1e-2:1,12,7451,this-search,17,16,17,13,103,1,13,1,0,0,0.039126291,0.159756,0.065045541,0.036639417,0.663638583,0.132959791,207699968
regular-two,narrower-float32,monolithic,24,14902,this-search,8,7,8,13,1,0,13,0,0,0,0.113723875,0.228305208,0.098598291,0.1144785,0.028057958,0,207716352
regular-two,narrower-float32,assembled,24,14902,sum-of-components,15,12,15,13,1,0,13,0,0,0,0.110004,0,0,0.121839291,0.025149084,0,207716352
regular-two,narrower-float32,00:baseline:1,12,7451,this-search,7,6,7,13,1,1,13,0,0,0,0.036533375,0.063496583,0.027642166,0.036333333,0.008988833,0,207716352
regular-two,narrower-float32,01:weak-1e-2:1,12,7451,this-search,8,6,8,13,1,1,13,0,0,0,0.03640475,0.072464209,0.031070915999999997,0.036426458,0.009032584,0,207716352
regular-two,wider-float32,monolithic,24,14902,this-search,10,8,10,13,1,0,13,0,0,0,0.113749459,0.313360959,0.127333125,0.114321917,0.028405583,0,207716352
regular-two,wider-float32,assembled,24,14902,sum-of-components,18,15,18,13,1,0,13,0,0,0,0.110792083,0,0,0.12203525,0.025062459,0,207716352
regular-two,wider-float32,00:baseline:1,12,7451,this-search,8,7,8,13,1,1,13,0,0,0,0.036668667,0.071592083,0.030650499999999997,0.036080292,0.009202791,0,207716352
regular-two,wider-float32,01:weak-1e-2:1,12,7451,this-search,10,8,10,13,1,1,13,0,0,0,0.036563667,0.09983375,0.039476375,0.03738025,0.009143417,0,207716352
regular-two,mixed-float32,monolithic,24,14902,this-search,9,8,9,13,1,0,13,0,0,0,0.112911584,0.25964025,0.111997832,0.113908791,0.028049875,0,207716352
regular-two,mixed-float32,assembled,24,14902,sum-of-components,16,13,16,13,1,0,13,0,0,0,0.110447458,0,0,0.118722375,0.025138375,0,207716352
regular-two,mixed-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.036382584,0.063172875,0.027435583,0.036344125,0.009083792,0,207716352
regular-two,mixed-float32,01:weak-1e-2:1,12,7451,this-search,9,8,9,13,1,1,13,0,0,0,0.036693292,0.081510417,0.035023165,0.036485333,0.009093666,0,207716352
regular-weak,first-stage-double,monolithic,24,14902,this-search,9,7,9,13,103,0,13,1,0,0,0.115865333,0.271507958,0.112781166,0.113898333,28.12161125,26.814171,195608576
regular-weak,first-stage-double,assembled,24,14902,sum-of-components,15,13,15,13,103,0,13,1,0,0,0.109685416,0,0,0.117991458,28.144590167,26.840209958,202735616
regular-weak,first-stage-double,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.036367666,0.053478417,0.023188126,0.036181208,0.612911125,0.110231625,204521472
regular-weak,first-stage-double,01:weak-1e-4:1,12,7451,this-search,9,8,9,13,103,1,13,1,0,0,0.03731325,0.087643291,0.035678542,0.036407667,0.644885291,0.121509125,204718080
regular-weak,narrower-double,monolithic,24,14902,this-search,9,8,9,13,103,0,13,1,0,0,0.113511042,0.261172333,0.111492961,0.113934917,28.095980375,26.792735291,209764352
regular-weak,narrower-double,assembled,24,14902,sum-of-components,16,14,16,13,103,0,13,1,0,0,0.109910333,0,0,0.1181055,28.123221167,26.824665666,209764352
regular-weak,narrower-double,00:baseline:1,12,7451,this-search,7,6,7,13,103,1,13,1,0,0,0.03625075,0.063161709,0.027448543,0.036616,0.610212875,0.110021042,209764352
regular-weak,narrower-double,01:weak-1e-4:1,12,7451,this-search,9,8,9,13,103,1,13,1,0,0,0.03624975,0.082887708,0.035150457999999996,0.036640042,0.637648917,0.120823208,209764352
regular-weak,wider-double,monolithic,24,14902,this-search,11,10,11,13,103,0,13,1,0,0,0.112487791,0.345069625,0.13898062300000003,0.113570167,28.126940875,26.821178583,210960384
regular-weak,wider-double,assembled,24,14902,sum-of-components,19,15,19,13,103,0,13,1,0,0,0.109907958,0,0,0.117807208,28.095741792,26.790286708,210960384
regular-weak,wider-double,00:baseline:1,12,7451,this-search,8,6,8,13,103,1,13,1,0,0,0.036372584,0.072423458,0.031118165,0.036279042,0.616085584,0.112202209,210960384
regular-weak,wider-double,01:weak-1e-4:1,12,7451,this-search,11,9,11,13,103,1,13,1,0,0,0.036571875,0.111289833,0.043547001,0.036500833,0.640390958,0.120468458,210960384
