dataset,variant,left,right,scaled_abc_difference,maximum_log_b_difference,both_qualified,passed
zero-signal,guarded-log,first-stage-double,narrower-double,0.07873914888520857,0.17118573184589655,False,False
zero-signal,guarded-log,first-stage-double,wider-double,0.38632840476127145,0.8144467159297764,False,False
zero-signal,guarded-log,first-stage-double,mixed-double,0.05046023164297944,0.10091879476418693,False,False
zero-signal,guarded-log,narrower-double,wider-double,0.43464838386539717,0.9856324477756729,False,False
zero-signal,guarded-log,narrower-double,mixed-double,0.12522618483606934,0.2721045266100835,False,False
zero-signal,guarded-log,wider-double,mixed-double,0.35371680503644565,0.7135279211655895,False,False
zero-signal,guarded-log,first-stage-float32,narrower-float32,9.11191304537347e-06,2.3666283428092072e-05,False,False
zero-signal,guarded-log,first-stage-float32,wider-float32,0.0001207215640667688,0.0003135989684087681,False,False
zero-signal,guarded-log,first-stage-float32,mixed-float32,4.235351337671454e-05,0.00011000327779187025,False,False
zero-signal,guarded-log,narrower-float32,wider-float32,0.00012983237710774778,0.0003372652518368602,False,False
zero-signal,guarded-log,narrower-float32,mixed-float32,3.3241903228672745e-05,8.633699436377817e-05,False,False
zero-signal,guarded-log,wider-float32,mixed-float32,0.00016306996446110476,0.00042360224620063835,False,False
near-0.10,legacy,first-stage-double,narrower-double,7.612957883143935e-16,2.220446049250313e-16,True,True
near-0.10,legacy,first-stage-double,wider-double,1.2688263138573192e-15,3.3306690738754696e-16,True,True
near-0.10,legacy,first-stage-double,mixed-double,8.881784197001249e-16,1.1102230246251565e-16,True,True
near-0.10,legacy,narrower-double,wider-double,1.522591576628787e-15,4.440892098500626e-16,True,True
near-0.10,legacy,narrower-double,mixed-double,8.881784197001258e-16,3.3306690738754696e-16,True,True
near-0.10,legacy,wider-double,mixed-double,1.2688263138573192e-15,2.220446049250313e-16,True,True
near-0.10,legacy,first-stage-float32,narrower-float32,1.6494741586165606e-15,4.440892098500626e-16,True,True
near-0.10,legacy,first-stage-float32,wider-float32,1.17961196494611e-15,4.440892098500626e-16,True,True
near-0.10,legacy,first-stage-float32,mixed-float32,8.326672674950155e-16,3.3306690738754696e-16,True,True
near-0.10,legacy,narrower-float32,wider-float32,2.4107699241318964e-15,6.661338147750939e-16,True,True
near-0.10,legacy,narrower-float32,mixed-float32,1.77635678620245e-15,2.220446049250313e-16,True,True
near-0.10,legacy,wider-float32,mixed-float32,6.47630098401786e-16,4.440892098500626e-16,True,True
near-0.10,guarded,first-stage-double,narrower-double,7.612957883143935e-16,2.220446049250313e-16,True,True
near-0.10,guarded,first-stage-double,wider-double,1.2688263138573192e-15,3.3306690738754696e-16,True,True
near-0.10,guarded,first-stage-double,mixed-double,8.881784197001249e-16,1.1102230246251565e-16,True,True
near-0.10,guarded,narrower-double,wider-double,1.522591576628787e-15,4.440892098500626e-16,True,True
near-0.10,guarded,narrower-double,mixed-double,8.881784197001258e-16,3.3306690738754696e-16,True,True
near-0.10,guarded,wider-double,mixed-double,1.2688263138573192e-15,2.220446049250313e-16,True,True
near-0.10,guarded,first-stage-float32,narrower-float32,1.6494741586165606e-15,4.440892098500626e-16,True,True
near-0.10,guarded,first-stage-float32,wider-float32,1.17961196494611e-15,4.440892098500626e-16,True,True
near-0.10,guarded,first-stage-float32,mixed-float32,8.326672674950155e-16,3.3306690738754696e-16,True,True
near-0.10,guarded,narrower-float32,wider-float32,2.4107699241318964e-15,6.661338147750939e-16,True,True
near-0.10,guarded,narrower-float32,mixed-float32,1.77635678620245e-15,2.220446049250313e-16,True,True
near-0.10,guarded,wider-float32,mixed-float32,6.47630098401786e-16,4.440892098500626e-16,True,True
near-0.10,guarded-log,first-stage-double,narrower-double,6.661338147750936e-16,2.220446049250313e-16,True,True
near-0.10,guarded-log,first-stage-double,wider-double,6.908054375445419e-16,3.3306690738754696e-16,True,True
near-0.10,guarded-log,first-stage-double,mixed-double,7.612957883143919e-16,2.220446049250313e-16,True,True
