dataset,variant,case,phase,seconds,process_peak_rss_bytes,included_in
baseline,guarded-log,mixed-float32,search,0.093301708,1206157312,fit total
baseline,guarded-log,mixed-float32,endpoint_audit,0.055999167,1206157312,fit total
baseline,guarded-log,mixed-float32,search reference,0.041273624,1206157312,search; RSS is search-process high-water mark
baseline,guarded-log,mixed-float32,new endpoint audit,0.050662416,135004160,audit process
baseline,guarded-log,mixed-float32,high precision,0,,new endpoint audit
weak-1e-2,legacy,first-stage-double,search,0.243602792,1206157312,fit total
weak-1e-2,legacy,first-stage-double,endpoint_audit,0.055801166,1206157312,fit total
weak-1e-2,legacy,first-stage-double,search reference,0.102217751,1206157312,search; RSS is search-process high-water mark
weak-1e-2,legacy,first-stage-double,new endpoint audit,0.019906167,998047744,audit process
weak-1e-2,legacy,first-stage-double,high precision,0,,new endpoint audit
weak-1e-2,legacy,narrower-double,search,0.106237542,1206157312,fit total
weak-1e-2,legacy,narrower-double,endpoint_audit,0.055689292,1206157312,fit total
weak-1e-2,legacy,narrower-double,search reference,0.046682001,1206157312,search; RSS is search-process high-water mark
weak-1e-2,legacy,narrower-double,new endpoint audit,0.015096625,998047744,audit process
weak-1e-2,legacy,narrower-double,high precision,0,,new endpoint audit
weak-1e-2,legacy,wider-double,search,0.148556833,1206157312,fit total
weak-1e-2,legacy,wider-double,endpoint_audit,0.056813416,1206157312,fit total
weak-1e-2,legacy,wider-double,search reference,0.059511833,1206157312,search; RSS is search-process high-water mark
weak-1e-2,legacy,wider-double,new endpoint audit,0.017560917,998047744,audit process
weak-1e-2,legacy,wider-double,high precision,0,,new endpoint audit
weak-1e-2,legacy,mixed-double,search,0.121250916,1206157312,fit total
weak-1e-2,legacy,mixed-double,endpoint_audit,0.056381792,1206157312,fit total
weak-1e-2,legacy,mixed-double,search reference,0.052638374999999994,1206157312,search; RSS is search-process high-water mark
weak-1e-2,legacy,mixed-double,new endpoint audit,0.017057417,998047744,audit process
weak-1e-2,legacy,mixed-double,high precision,0,,new endpoint audit
weak-1e-2,legacy,first-stage-float32,search,0.239220916,1206157312,fit total
weak-1e-2,legacy,first-stage-float32,endpoint_audit,0.055883959,1206157312,fit total
weak-1e-2,legacy,first-stage-float32,search reference,0.10054295700000002,1206157312,search; RSS is search-process high-water mark
weak-1e-2,legacy,first-stage-float32,new endpoint audit,0.0197355,998047744,audit process
weak-1e-2,legacy,first-stage-float32,high precision,0,,new endpoint audit
weak-1e-2,legacy,narrower-float32,search,0.105910417,1206157312,fit total
weak-1e-2,legacy,narrower-float32,endpoint_audit,0.055825541,1206157312,fit total
weak-1e-2,legacy,narrower-float32,search reference,0.046823917,1206157312,search; RSS is search-process high-water mark
weak-1e-2,legacy,narrower-float32,new endpoint audit,0.024634625,998047744,audit process
weak-1e-2,legacy,narrower-float32,high precision,0,,new endpoint audit
weak-1e-2,legacy,wider-float32,search,0.146255625,1206157312,fit total
weak-1e-2,legacy,wider-float32,endpoint_audit,0.055327834,1206157312,fit total
weak-1e-2,legacy,wider-float32,search reference,0.059802958,1206157312,search; RSS is search-process high-water mark
weak-1e-2,legacy,wider-float32,new endpoint audit,0.017497208,998047744,audit process
weak-1e-2,legacy,wider-float32,high precision,0,,new endpoint audit
weak-1e-2,legacy,mixed-float32,search,0.119953208,1206157312,fit total
weak-1e-2,legacy,mixed-float32,endpoint_audit,0.055310709,1206157312,fit total
