dataset,case,scope,atoms,rows,search_counter_scope,profile_evaluations,accepted_updates,search_reference_solves,endpoint_reference_solves,audit_reference_solves,post_search_trust_reference_solves,refreshed_assessment_reference_solves,precision_reference_pairs_requested,boundary_reference_pairs_requested,boundary_seconds,refreshed_assessment_seconds,search_seconds,search_reference_seconds_nested,endpoint_audit_seconds,audit_seconds,precision_seconds_nested,process_peak_rss_bytes
regular-weak,narrower-float32,monolithic,24,14902,this-search,10,9,10,13,103,0,13,1,0,0,0.214098917,0.5669535,0.242331625,0.22964725,47.134303958,44.507722333,212451328
regular-weak,narrower-float32,assembled,24,14902,sum-of-components,17,13,17,13,103,0,13,1,0,0,0.220022042,0,0,0.231357084,46.847455875,44.303760375,217448448
regular-weak,narrower-float32,00:baseline:1,12,7451,this-search,7,5,7,13,103,1,13,1,0,0,0.074431625,0.131326042,0.053787001,0.080166791,1.27279875,0.186535833,218021888
regular-weak,narrower-float32,01:weak-1e-4:1,12,7451,this-search,10,8,10,13,103,1,13,1,0,0,0.079474083,0.195334417,0.087117212,0.077921333,1.28213775,0.2196495,218808320
regular-weak,wider-float32,monolithic,24,14902,this-search,11,9,11,13,103,0,13,1,0,0,0.222332417,0.671005375,0.250291751,0.241398417,47.241996833,44.659094166,213254144
regular-weak,wider-float32,assembled,24,14902,sum-of-components,19,15,19,13,103,0,13,1,0,0,0.233919542,0,0,0.235185,47.180871667,44.624259334,218120192
regular-weak,wider-float32,00:baseline:1,12,7451,this-search,8,6,8,13,103,1,13,1,0,0,0.077784708,0.142186542,0.065150126,0.080396291,1.234202583,0.209143083,218120192
regular-weak,wider-float32,01:weak-1e-4:1,12,7451,this-search,11,9,11,13,103,1,13,1,0,0,0.086510584,0.215448625,0.081634749,0.072298667,1.252768708,0.207845792,218595328
regular-weak,mixed-float32,monolithic,24,14902,this-search,10,8,11,13,103,0,13,1,0,0,0.217675875,0.629447792,0.274954625,0.226404791,47.34365525,44.781239333,193413120
regular-weak,mixed-float32,assembled,24,14902,sum-of-components,18,15,18,13,103,0,13,1,0,0,0.234941709,0,0,0.244156792,47.202681458,44.567712541,222216192
regular-weak,mixed-float32,00:baseline:1,12,7451,this-search,7,6,7,13,103,1,13,1,0,0,0.072759291,0.127978917,0.056420709,0.068544458,1.297478417,0.200133958,223215616
regular-weak,mixed-float32,01:weak-1e-4:1,12,7451,this-search,11,9,11,13,103,1,13,1,0,0,0.077415833,0.210919167,0.10453096,0.078264542,1.282588959,0.22798475,224952320
regular-zero,first-stage-double,monolithic,24,14902,this-search,6,5,6,13,103,0,13,1,0,0,0.22814275,0.351007417,0.14701799999999998,0.230183375,47.482260584,44.796917542,215678976
regular-zero,first-stage-double,assembled,24,14902,sum-of-components,12,8,12,13,103,0,13,1,0,0,0.174741333,0,0,0.277867125,48.549747375,45.52142075,217137152
regular-zero,first-stage-double,00:baseline:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.078825542,0.1158995,0.052308459,0.078289958,1.298089667,0.215994959,217137152
regular-zero,first-stage-double,01:zero-signal:1,12,7451,this-search,6,4,6,13,103,1,13,1,0,0,0.081031625,0.103201875,0.044674834,0.082013208,1.429765542,0.217876625,217137152
regular-zero,narrower-double,monolithic,24,14902,this-search,7,6,7,13,103,0,13,0,0,0,0.248589125,0.405579625,0.170247916,0.246220458,2.780986417,0,91832320
regular-zero,narrower-double,assembled,24,14902,sum-of-components,14,11,14,13,103,0,13,0,0,0,0.209223333,0,0,0.237709167,2.815483166,0,91455488
regular-zero,narrower-double,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.079677958,0.125426542,0.06085812699999999,0.077841125,0.019021292,0,91848704
regular-zero,narrower-double,01:zero-signal:1,12,7451,this-search,7,6,7,13,103,1,13,0,0,0,0.079788,0.125746709,0.055196624000000014,0.073511166,1.189082875,0,91848704
regular-zero,wider-double,monolithic,24,14902,this-search,8,6,8,13,103,0,13,0,0,0,0.240035708,0.490252583,0.204928414,0.214090375,2.874338458,0,92438528
regular-zero,wider-double,assembled,24,14902,sum-of-components,16,14,16,13,103,0,13,0,0,0,0.251467458,0,0,0.248711167,2.912614291,0,87818240
regular-zero,wider-double,00:baseline:1,12,7451,this-search,8,7,8,13,1,1,13,0,0,0,0.076585833,0.140533542,0.053404625,0.06988525,0.021792667,0,92454912
regular-zero,wider-double,01:zero-signal:1,12,7451,this-search,8,7,8,13,103,1,13,0,0,0,0.078807584,0.177543958,0.07231691700000001,0.090058333,1.132434458,0,92454912
regular-zero,mixed-double,monolithic,24,14902,this-search,7,5,7,13,103,0,13,0,0,0,0.230844333,0.410566542,0.159415582,0.219454416,2.844320875,0,92454912
regular-zero,mixed-double,assembled,24,14902,sum-of-components,14,11,14,13,103,0,13,0,0,0,0.226997416,0,0,0.233000791,2.919072834,0,93732864
regular-zero,mixed-double,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.074790708,0.121542375,0.050009081000000004,0.087519625,0.01916275,0,94240768
regular-zero,mixed-double,01:zero-signal:1,12,7451,this-search,7,6,7,13,103,1,13,0,0,0,0.072526166,0.158139583,0.056452750999999995,0.069687833,1.11169775,0,94289920
regular-zero,first-stage-float32,monolithic,24,14902,this-search,19,10,20,13,103,0,13,1,0,0,0.234085708,0.968326,0.47509241699999993,0.234829833,49.327512041,46.611190417,197689344
regular-zero,first-stage-float32,assembled,24,14902,sum-of-components,22,11,23,13,103,0,13,1,0,0,0.235725083,0,0,0.234335875,47.640702708,44.918774542,211943424
regular-zero,first-stage-float32,00:baseline:1,12,7451,this-search,6,5,6,13,103,1,13,1,0,0,0.078700833,0.11014575,0.052131751,0.073861875,1.241452542,0.175031959,213024768
regular-zero,first-stage-float32,01:zero-signal:1,12,7451,this-search,16,6,17,13,103,1,13,1,0,0,0.09527025,0.267614875,0.128255126,0.073045666,1.41240075,0.21328975,215416832
regular-zero,narrower-float32,monolithic,24,14902,this-search,26,14,27,13,103,0,13,0,0,0,0.215574041,1.333835292,0.6842079999999999,0.229509416,2.69264975,0,93077504
regular-zero,narrower-float32,assembled,24,14902,sum-of-components,34,19,36,13,103,0,13,0,0,0,0.210872584,0,0,0.240098542,2.703965541,0,87015424
regular-zero,narrower-float32,00:baseline:1,12,7451,this-search,7,5,7,13,1,1,13,0,0,0,0.066060375,0.112898042,0.048473627,0.077228334,0.020423417,0,93241344
