dataset,case,initialization_valid,execution_complete,joint_qualified,qualification_failure,endpoint_identified,known_unidentified,oracle_recovered,float32_accuracy_passed,independent_endpoint_replay_passed,rss,residual_rmse,projected_kkt,b_gradient_inf,local_correction_inf,profile_evaluations,accepted_updates,A_bias,A_rmse,A_p99,A_max,A_below_0_01,B_bias,B_rmse,B_p99,B_max,B_below_0_01,C_bias,C_rmse,C_p99,C_max,C_below_0_01
weak-1e-4,wider-float32,True,True,False,derivative-unverified,True,False,False,True,True,4.8821031279605725e-12,2.5597419909975054e-08,1.1102230246251565e-16,5.722334171231681e-17,2.4833905317194105e-12,11,9,-8.124103325678648e-09,3.173473426080324e-08,6.80365905836311e-08,6.80365905836311e-08,12,5.102264979175061e-07,2.042994771839903e-06,7.0394358401282275e-06,7.0394358401282275e-06,12,4.437190119506955e-10,1.2482170612060235e-09,1.8687644209869347e-09,1.8687644209869347e-09,12
weak-1e-4,mixed-float32,True,True,False,derivative-unverified,True,False,False,True,True,4.8821031258141236e-12,2.5597419904348016e-08,1.3877787807814457e-16,9.684813835484889e-16,6.149140577632592e-10,11,8,-8.124148212940597e-09,3.173470233541096e-08,6.803670249411198e-08,6.803670249411198e-08,12,5.101929069587877e-07,2.0429643287421702e-06,7.039320465529464e-06,7.039320465529464e-06,12,4.4372063171598924e-10,1.2482153768564398e-09,1.868766003054745e-09,1.868766003054745e-09,12
active-a,first-stage-double,True,True,False,derivative-unverified,True,False,False,False,True,3.3684125503393784e-27,6.723654003278996e-16,2.220446049250313e-16,1.0255395728881175e-16,1.1923174925174082e-07,78,54,1.7131396057710724e-08,4.0064498102971434e-08,1.0025565149250352e-07,1.0025565149250352e-07,12,1.528803347805585e-08,3.589167420838684e-08,9.496112773899057e-08,9.496112773899057e-08,12,-9.020562075079397e-17,3.927683650008203e-16,7.771561172376096e-16,7.771561172376096e-16,12
active-a,narrower-double,True,True,False,derivative-unverified,True,False,False,False,True,1.1152996729472055e-27,3.8689089185367196e-16,1.6653345369377348e-16,3.369433996508654e-17,3.508816063625506e-08,31,25,5.251176271325537e-09,1.1065754771226067e-08,2.6995756646305356e-08,2.6995756646305356e-08,12,4.808970855788945e-09,1.0333601473859009e-08,2.685317301853729e-08,2.685317301853729e-08,12,-1.61907524424502e-17,2.622130794118103e-16,6.938893903907228e-16,6.938893903907228e-16,12
active-a,wider-double,True,True,False,derivative-unverified,True,False,False,False,True,1.0650303576873752e-27,3.780713010731241e-16,8.326672684688674e-17,4.479383178236809e-17,7.00885507749167e-08,43,34,7.20728707714441e-09,2.037873504910449e-08,6.901744930153312e-08,6.901744930153312e-08,12,5.998061774111403e-09,1.641257779094798e-08,5.492233301485072e-08,5.492233301485072e-08,12,-4.625929269271485e-18,2.654977136710839e-16,4.163336342344337e-16,4.163336342344337e-16,12
active-a,mixed-double,True,True,False,derivative-unverified,True,False,False,False,True,9.4805417764236e-28,3.5670508171186167e-16,8.326672684688674e-17,4.666759117857508e-17,3.170788837699122e-08,32,26,4.174573506643204e-09,8.842051358939958e-09,2.438382253960834e-08,2.438382253960834e-08,12,3.6534265381490036e-09,7.607483247303362e-09,1.940403093758647e-08,1.940403093758647e-08,12,2.3129646346357427e-18,2.62702283343476e-16,4.996003610813204e-16,4.996003610813204e-16,12
active-a,first-stage-float32,True,True,False,derivative-unverified,True,False,False,True,True,6.703883461716492e-12,2.9995488994977973e-08,1.1102230246251565e-16,3.78294180232343e-17,0.3746687085657202,53,37,2.3812064869613406e-05,5.951837236924929e-05,0.00017146387214001852,0.00017146387214001852,12,2.2112033794522794e-05,5.470835103659642e-05,0.00015151578190636394,0.00015151578190636394,12,4.360001827167596e-10,1.6578757081191373e-09,3.6973218375813133e-09,3.6973218375813133e-09,12
active-a,narrower-float32,True,True,False,derivative-unverified,True,False,False,True,True,6.703883456698789e-12,2.999548898375251e-08,2.42861286636753e-16,7.715601971245118e-17,1.9702209784199344e-12,40,30,2.3808478248282003e-05,5.951252563363585e-05,0.00017146036389556292,0.00017146036389556292,12,2.2108638362827726e-05,5.470225601914025e-05,0.00015151268448909683,0.00015151268448909683,12,4.360445430654873e-10,1.657893102553858e-09,3.6974559247671124e-09,3.6974559247671124e-09,12
active-a,wider-float32,True,True,False,derivative-unverified,True,False,False,True,True,6.703883457148079e-12,2.999548898475765e-08,8.326672684688674e-17,3.9032164941613836e-17,0.09412909694914011,37,26,2.381886297903667e-05,5.951253635666944e-05,0.00017146036365580446,0.00017146036365580446,12,2.2116902257021676e-05,5.470226229202672e-05,0.0001515126842719372,0.0001515126842719372,12,4.3604460320256777e-10,1.6578932356190723e-09,3.6974559247671124e-09,3.6974559247671124e-09,12
active-a,mixed-float32,True,True,False,derivative-unverified,True,False,False,True,True,6.703883459543194e-12,2.999548899011593e-08,2.220446049250313e-16,1.1606846160202192e-16,0.40352415038647704,32,22,2.381010549104071e-05,5.951255048311116e-05,0.0001714604572626169,0.0001714604572626169,12,2.210993419019906e-05,5.470227740069925e-05,0.00015151276695729576,0.00015151276695729576,12,4.3604466333964825e-10,1.6578931106447246e-09,3.697455508433478e-09,3.697455508433478e-09,12
